ITEMÎ≤àÌò∏	ITEM_NAME(K)	ITEM_TYPE	SUB_TYPE	SIZE	ANTI_FLAG	FLAG	ITEM_WEAR	IMMUNE	ÏÉÅÏ†ê ÌåêÎß§Í∞Ä	ÏÉÅÏ†êÏóêÏÑú ÏÇ¥ Îïå	REFINE	REFINESET	MAGIC_PCT	LIMIT_TYPE0	LIMIT_VALUE0	LIMIT_TYPE1	LIMIT_VALUE1	ADDON_TYPE0	ADDON_VALUE0	ADDON_TYPE1	ADDON_VALUE1	ADDON_TYPE2	ADDON_VALUE2	VALUE0	VALUE1	VALUE2	VALUE3	VALUE4	VALUE5	Specular	SOCKET	ATTU_ADDON	CATEGORY	SUBCATEGORY
7141	¡¶∏∂º±+1	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	360000	395000	7142	155	15	LEVEL	65	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	95	115	69	91	6	0	3	0	2	6
7142	¡¶∏∂º±+2	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	360000	435000	7143	156	15	LEVEL	65	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	95	115	69	91	13	0	3	0	2	6
7143	¡¶∏∂º±+3	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	360000	500000	7144	157	15	LEVEL	65	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	95	115	69	91	21	0	3	0	2	6
7144	¡¶∏∂º±+4	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	360000	600000	7145	158	15	LEVEL	65	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	95	115	69	91	30	30	3	0	2	6
7145	¡¶∏∂º±+5	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	360000	750000	7146	159	15	LEVEL	65	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	95	115	69	91	40	40	3	0	2	6
7146	¡¶∏∂º±+6	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	360000	975000	7147	160	15	LEVEL	65	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	95	115	69	91	51	50	3	0	2	6
7147	¡¶∏∂º±+7	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	360000	1320000	7148	161	15	LEVEL	65	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	95	115	69	91	63	65	3	0	2	6
7148	¡¶∏∂º±+8	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	360000	1845000	7149	162	15	LEVEL	65	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	95	115	69	91	76	80	3	0	2	6
7149	¡¶∏∂º±+9	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	360000	2770000	7190	501	15	LEVEL	65	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	95	115	69	91	90	100	3	0	2	6
7150	π´æ∆º±+0	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	2225000	7151	154	5	LEVEL	70	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_CAST_SPEED	5	APPLY_NONE	0	0	95	115	69	91	0	0	3	0	2	6
7151	π´æ∆º±+1	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	2300000	7152	155	5	LEVEL	70	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_CAST_SPEED	6	APPLY_NONE	0	0	95	115	69	91	6	0	3	0	2	6
7152	π´æ∆º±+2	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	2675000	7153	156	5	LEVEL	70	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_CAST_SPEED	7	APPLY_NONE	0	0	95	115	69	91	13	0	3	0	2	6
7153	π´æ∆º±+3	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	3500000	7154	157	5	LEVEL	70	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_CAST_SPEED	8	APPLY_NONE	0	0	95	115	69	91	21	0	3	0	2	6
7154	π´æ∆º±+4	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	5500000	7155	158	5	LEVEL	70	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_CAST_SPEED	10	APPLY_NONE	0	0	95	115	69	91	30	30	3	0	2	6
7155	π´æ∆º±+5	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	7000000	7156	159	5	LEVEL	70	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_CAST_SPEED	12	APPLY_NONE	0	0	95	115	69	91	40	40	3	0	2	6
7156	π´æ∆º±+6	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_SELL | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	7600000	7157	160	5	LEVEL	70	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_CAST_SPEED	14	APPLY_NONE	0	0	95	115	69	91	51	50	3	0	2	6
7157	π´æ∆º±+7	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_SELL | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	12250000	7158	161	5	LEVEL	70	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_CAST_SPEED	17	APPLY_NONE	0	0	95	115	69	91	63	65	3	0	2	6
7158	π´æ∆º±+8	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_SELL | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	15000000	7159	162	5	LEVEL	70	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_CAST_SPEED	20	APPLY_NONE	0	0	95	115	69	91	76	80	3	0	2	6
7159	π´æ∆º±+9	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_SELL | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	18750000	0	0	5	LEVEL	70	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_CAST_SPEED	25	APPLY_NONE	0	0	95	115	69	91	90	100	3	0	2	6
7160	√ﬂ«≥º±+0	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	20000	30000	7161	352	15	LEVEL	30	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	45	76	43	55	0	0	2	-1	#2	6
7161	√ﬂ«≥º±+1	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	20000	33000	7162	353	15	LEVEL	30	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	45	76	43	55	6	0	2	-1	#2	6
7162	√ﬂ«≥º±+2	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	20000	36500	7163	354	15	LEVEL	30	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	45	76	43	55	11	0	2	-1	#2	6
7163	√ﬂ«≥º±+3	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	20000	41500	7164	355	15	LEVEL	30	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	45	76	43	55	17	0	2	-1	#2	6
7164	√ﬂ«≥º±+4	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	20000	50000	7165	356	15	LEVEL	30	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	45	76	43	55	22	30	2	-1	#2	6
7165	√ﬂ«≥º±+5	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	20000	62500	7166	357	15	LEVEL	30	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	45	76	43	55	30	40	2	-1	#2	6
7166	√ﬂ«≥º±+6	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	20000	81500	7167	358	15	LEVEL	30	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	45	76	43	55	38	50	2	-1	#2	6
7167	√ﬂ«≥º±+7	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	20000	110000	7168	359	15	LEVEL	30	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	45	76	43	55	48	65	2	-1	#2	6
7168	√ﬂ«≥º±+8	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	20000	154000	7169	360	15	LEVEL	30	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	45	76	43	55	58	80	2	-1	#2	6
7169	√ﬂ«≥º±+9	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	20000	231000	0	0	15	LEVEL	30	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	45	76	43	55	70	100	2	-1	#2	6
7170	∆»±•º±+0	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	30000	7171	154	5	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	0	0	0	2	6
7171	∆»±•º±+1	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	30000	7172	155	5	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	0	0	0	2	6
7172	∆»±•º±+2	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	30000	7173	156	5	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	0	0	0	2	6
7173	∆»±•º±+3	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	30000	7174	157	5	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	0	0	0	2	6
7174	∆»±•º±+4	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	30000	7175	158	5	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	30	0	0	2	6
7175	∆»±•º±+5	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	30000	7176	159	5	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	40	0	0	2	6
7176	∆»±•º±+6	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	30000	7177	160	5	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	50	0	0	2	6
7177	∆»±•º±+7	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	30000	7178	161	5	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	65	0	0	2	6
7178	∆»±•º±+8	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	30000	7179	162	5	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	80	0	0	2	6
7179	∆»±•º±+9	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	30000	8008	0	5	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	100	0	0	2	6
7180	øÕ∑Êº±+0	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	30000	7181	154	5	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	0	0	0	2	6
7181	øÕ∑Êº±+1	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	30000	7182	155	5	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	0	0	0	2	6
7182	øÕ∑Êº±+2	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	30000	7183	156	5	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	0	0	0	2	6
7183	øÕ∑Êº±+3	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	30000	7184	157	5	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	0	0	0	2	6
7184	øÕ∑Êº±+4	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	30000	7185	158	5	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	30	0	0	2	6
7185	øÕ∑Êº±+5	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	30000	7186	159	5	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	40	0	0	2	6
7186	øÕ∑Êº±+6	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	30000	7187	160	5	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	50	0	0	2	6
7187	øÕ∑Êº±+7	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	30000	7188	161	5	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	65	0	0	2	6
7188	øÕ∑Êº±+8	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	30000	7189	162	5	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	80	0	0	2	6
7189	øÕ∑Êº±+9	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	30000	0	0	5	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	100	0	0	2	6
7190	¡¯¡¶∏∂º±+0	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_SELL | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	360000	250000	7191	502	5	LEVEL	80	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_ATTBONUS_DEVIL	2	APPLY_ATTBONUS_HUMAN	2	0	90	115	65	85	100	0	3	0	2	6
7191	¡¯¡¶∏∂º±+1	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_SELL | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	360000	275000	7192	503	5	LEVEL	80	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_ATTBONUS_DEVIL	3	APPLY_ATTBONUS_HUMAN	3	0	92	117	68	87	100	0	3	0	2	6
7192	¡¯¡¶∏∂º±+2	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_SELL | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	360000	305000	7193	504	5	LEVEL	82	LIMIT_NONE	0	APPLY_ATT_SPEED	16	APPLY_ATTBONUS_DEVIL	4	APPLY_ATTBONUS_HUMAN	4	0	95	119	72	89	100	0	3	0	2	6
7193	¡¯¡¶∏∂º±+3	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_SELL | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	360000	350000	7194	505	5	LEVEL	82	LIMIT_NONE	0	APPLY_ATT_SPEED	17	APPLY_ATTBONUS_DEVIL	5	APPLY_ATTBONUS_HUMAN	5	0	99	122	77	92	100	0	3	0	2	6
7194	¡¯¡¶∏∂º±+4	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_SELL | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	360000	415000	7195	506	5	LEVEL	84	LIMIT_NONE	0	APPLY_ATT_SPEED	18	APPLY_ATTBONUS_DEVIL	6	APPLY_ATTBONUS_HUMAN	6	0	54	75	33	45	150	30	3	0	2	6
7195	¡¯¡¶∏∂º±+5	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_SELL | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	360000	520000	7196	507	5	LEVEL	84	LIMIT_NONE	0	APPLY_ATT_SPEED	20	APPLY_ATTBONUS_DEVIL	7	APPLY_ATTBONUS_HUMAN	7	0	60	79	40	50	150	40	3	0	2	6
7196	¡¯¡¶∏∂º±+6	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_SELL | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	360000	680000	7197	508	5	LEVEL	86	LIMIT_NONE	0	APPLY_ATT_SPEED	22	APPLY_ATTBONUS_DEVIL	8	APPLY_ATTBONUS_HUMAN	8	0	67	85	48	57	150	50	3	0	2	6
7197	¡¯¡¶∏∂º±+7	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_SELL | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	360000	915000	7198	509	5	LEVEL	86	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_ATTBONUS_DEVIL	9	APPLY_ATTBONUS_HUMAN	9	0	75	93	56	66	150	65	3	0	2	6
7198	¡¯¡¶∏∂º±+8	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_SELL | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	360000	1280000	7199	510	5	LEVEL	88	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_ATTBONUS_DEVIL	10	APPLY_ATTBONUS_HUMAN	10	0	34	53	15	25	200	80	3	0	2	6
7199	¡¯¡¶∏∂º±+9	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_SELL | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	360000	1925000	7370	610	5	LEVEL	90	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_DEVIL	12	APPLY_ATTBONUS_HUMAN	12	0	45	65	25	35	200	100	3	0	2	6
7200	∏∂ªÛ¿Â√¢+0	ITEM_WEAPON	WEAPON_MOUNT_SPEAR	3	NONE	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	30000	7201	46	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_ATT_SPEED	0	APPLY_NONE	0	APPLY_NONE	0	0	0	0	68	83	0	0	3	0	2	7
7201	∏∂ªÛ¿Â√¢+1	ITEM_WEAPON	WEAPON_MOUNT_SPEAR	3	NONE	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	30000	7202	47	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_ATT_SPEED	0	APPLY_NONE	0	APPLY_NONE	0	0	0	0	68	83	5	0	3	0	2	7
7202	∏∂ªÛ¿Â√¢+2	ITEM_WEAPON	WEAPON_MOUNT_SPEAR	3	NONE	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	30000	7203	48	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_ATT_SPEED	0	APPLY_NONE	0	APPLY_NONE	0	0	0	0	68	83	10	0	3	0	2	7
7203	∏∂ªÛ¿Â√¢+3	ITEM_WEAPON	WEAPON_MOUNT_SPEAR	3	NONE	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	30000	7204	49	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_ATT_SPEED	0	APPLY_NONE	0	APPLY_NONE	0	0	0	0	68	83	15	0	3	0	2	7
7204	∏∂ªÛ¿Â√¢+4	ITEM_WEAPON	WEAPON_MOUNT_SPEAR	3	NONE	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	30000	7205	50	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_ATT_SPEED	0	APPLY_NONE	0	APPLY_NONE	0	0	0	0	68	83	20	0	3	0	2	7
7205	∏∂ªÛ¿Â√¢+5	ITEM_WEAPON	WEAPON_MOUNT_SPEAR	3	NONE	ITEM_TUNABLE	WEAR_WEAPON	NONE	30000	30000	7206	51	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_ATT_SPEED	0	APPLY_NONE	0	APPLY_NONE	0	0	0	0	68	83	27	0	3	0	2	7
